Time,Tweet,Comment,Retweet,Like,ImageLink
12:35 AM - 29 Dec 2016,"b'Chilling out with @FatsharkRC in Knysna, South Africa @natashakelkarpic.twitter.com/DcnjOWb9eG'",0,0,3,
4:33 AM - 16 Dec 2016,"b'Questian Bhavesh Sangani wins big @IDRLdroneracing League (IDRL), India\xe2\x80\x99s first ever drone racing. Congratulations! #drone, #droneracingpic.twitter.com/m1kDmXNf4L'",1,6,7,
11:05 PM - 14 Dec 2016,b'1 year of @Drone_NR today! #drones #1stbday @turncircles @1MartianWay @IDRAdroneracing @IDRLdroneracing @Freebird_Flight @Flybrix Thankd all',1,2,8,
12:40 AM - 9 Dec 2016,"b""Thank you for your support to #aml16 and making India's first ever #DroneRace a grand success.\n#DreamsComeTrue\nDrone Footage: Ken and Deveshpic.twitter.com/vzYFEFrTwp""",0,3,11,('https://pbs.twimg.com/ext_tw_video_thumb/807141881251434496/pu/img/ikM--MCkyzRMw37N.jpg')
9:01 AM - 7 Dec 2016,b'Thanks Team @FatsharkRC :) We await your verdicthttps://twitter.com/fatsharkrc/status/806540335480455168\xc2\xa0\xe2\x80\xa6',1,0,0,
3:23 AM - 26 Nov 2016,b'Pilots Mateen Baig & Manju are all smiles at #IDRL Wired Drone Race in Bangalore as they introduce visitors to #droneracing #fpv #dronespic.twitter.com/fmSW1354zq',0,1,5,
10:47 PM - 18 Nov 2016,"b'ImmersionRC sent us their RSSI Timing System or ""VTX Timing System"" for testing. It\'s almost ready, Race Directors! (Stickers not included)pic.twitter.com/sv7ww12vYd'",1,3,8,
10:25 AM - 13 Nov 2016,b'Played the Indian Rodeo Announcer at #IDRL Wired Drone Race in Bangalore. Love for inspiring drone pilots and making em nervous on hot seat!pic.twitter.com/2CKDpnJneY',0,1,8,
4:53 AM - 13 Nov 2016,b'An impressive race track at #IDRL Wired Drone Race in Bangalore at RMZ Ecoworld! #droneracing #indiandroneracingleague #drones #fpvracingpic.twitter.com/RCU1CtOO89',0,4,11,
11:39 PM - 11 Nov 2016,b'Indian Drone Racing leg 2 #Bengaluru @IDRLdroneracing #rmzecoworldpic.twitter.com/5iDVxTWGcI',1,4,4,
5:17 AM - 3 Nov 2016,"b""All smiles with Team @amalthea_iitgn volunteers who worked tirelessly to execute #IDRL S01E01 - The Revolution, India's First Drone Racepic.twitter.com/kEWb33mvWr""",0,4,10,
5:14 AM - 3 Nov 2016,"b""A moment with pilot Ritvik Nesargi who won the Third Winner's Prize at #IDRL 101 (Beginner Class) Drone Race at S01E01 - The Revolution.pic.twitter.com/HgxqGtrasr""",0,0,1,
5:12 AM - 3 Nov 2016,b'Pilot Vipul Bhati being congratulated by @quadkopters for winning the #IDRL 101 (Beginner Class) Drone Race at S01E01 - The Revolution.pic.twitter.com/tHCcofiHCk',0,0,1,
5:09 AM - 3 Nov 2016,"b""Thank you Priyanshu Gupta from @amalthea_iitgn for helping us execute #IDRL India's First Drone Racing Event. #indiandroneracingleaguepic.twitter.com/iK9abwM48m""",0,0,5,
5:05 AM - 3 Nov 2016,b'Looking through the eyes of Pro Pilot Pravesh TM in a beautiful setting sun #IDRL S01E01 - The Revolution @amalthea_iitgn #droneracingindiapic.twitter.com/x4SsqzmagJ',0,0,3,
4:58 AM - 3 Nov 2016,b'#IDRL S01E01 Fourth Place Pilot Ken Kouwang felicitated by our sponsor @quadkopters. #indiandroneracingleague #droneracingindia #dronespic.twitter.com/3J7XHipvmX',0,0,0,
4:56 AM - 3 Nov 2016,b'#IDRL S01E01 Fifth Place Pilot Devesh Sharma being handed over his prize by our sponsor @quadkopters. #indiandroneracingleague #droneracepic.twitter.com/KW0ISAHVSH',0,0,1,
